file name,area_of_law,interests,statement,,,,
File: /content/drive/MyDrive/articles/06_34.xml,civil law,Reserved costs,costs whether costs should follow the event reserved costs questionable success of motion where applicants did not pursue application for interlocutory relief in favour of early trial where affidavits contained unnecessary detail and inaccuracies and were given low weight costs of senior and junior counsel contested order 62 rule 36a(1), federal court rules practice and procedure,,,
File: /content/drive/MyDrive/articles/06_32.xml,Patent Law,Joint Ownership of Patents,entitlement joint patentees one patentee not claiming through the inventor validity of grant patents,,,,
File: /content/drive/MyDrive/articles/06_23.xml,Immigration Law,Procedural Fairness in Protection Visa Appeals,appeal from decision of federal magistrate protection visa procedural unfairness whether appellant had sufficient time to plead case or obtain additional country information no error established migration,,,,
File: /content/drive/MyDrive/articles/06_41.xml,Consumer Law,Misrepresentation in Trade,appeal misleading or deceptive conduct purchase of lunch bar misrepresentation of turnover finding that misrepresentation corrected before conclusion of sale finding of no reliance no inadequacy in reasons of federal magistrate no error in credibility findings no material errors in evidentiary rulings and findings no basis for appellate court to reach a different conclusion trade practices,,,,
File: /content/drive/MyDrive/articles/06_28.xml,Bankruptcy Law,Personal insolvency agreements,personal insolvency agreements where debtor signed authority to have his affairs dealt with under part x where debtor required to give proposal for dealing with his affairs where proposal required to include draft personal insolvency agreement where agreement required to identify debtor's property to be available to pay creditors' claims whether provisions of draft agreement made such identification impossible whether authority effective whether authority an abuse of process bankruptcy,,,,
File: /content/drive/MyDrive/articles/06_31.xml,Immigration Law,Completeness and Validity of Visa Applications,"whether a second tribunal was entitled to rely on the findings of the first tribunal pursuant to s 416 of the migration act whether the first tribunal decision determined an rrt-reviewable decision application based on ""grounds to follow"" not valid delegate decision on invalid visa application is nonetheless a decision for the purposes of ss 411 and 412 delegate decision on invalid visa application is an rrt-reviewable decision visa application becomes complete and valid when further information received by the department or by the tribunal procedural fairness applicant not told by the second tribunal that it may rely on the findings of the first tribunal applicant denied the opportunity to address the matters that gave rise to the first tribunal decision denial of natural justice whether denial of natural justice infects the whole decision where there is an alternative basis for the decision actual or imputed bias whether second tribunal demonstrated bias in relying on s 416 migration migration migration",,,,
File: /content/drive/MyDrive/articles/06_36.xml,Civil law,application for summary judgement o 35a,application for summary judgement o 35a, federal court rules respondents in default for failure to defend the proceeding with due diligence appropriate relief in the circumstances indemnity costs practice and procedure,,,
File: /content/drive/MyDrive/articles/06_40.xml,Immigration Law,Appeal Estoppel,appeal whether precluded by anshun estoppel migration,,,,
File: /content/drive/MyDrive/articles/06_38.xml,civil law,Security for Costs,whether security for costs should be ordered appeal without merit or substance appellant impecunious amount of security appropriate security for costs,,,,
File: /content/drive/MyDrive/articles/06_37.xml,civil law,Extension of Time for Appeal,application to extend time for filing appeal where no realistic prospect of success appeal,,,,
